🎬影视轮播,#genre#
成龙,http://zby.xjqxz.top/cldy/live.m3u8
周星驰,http://zby.xjqxz.top/live12/live.m3u8
李连杰,http://zby.xjqxz.top/lljdy/live.m3u8
五福星①,http://159.75.85.63:35455/huya/11282233
五福星②,https://www.goodiptv.club/huya/11282233
周星驰①,http://159.75.85.63:35455/huya/11342412
周星驰②,https://www.goodiptv.club/huya/11342412
周星驰③,https://www.goodiptv.club/douyu/122402
周星驰_粤语,https://www.goodiptv.club/huya/11336587
成龙①,http://159.75.85.63:35455/huya/11342386
成龙②,https://www.goodiptv.club/huya/11342386
成龙③,http://jxiptv.xn--9kqp7k2rd.com/svip/YY_.php?t=1354888751
周润发①,http://159.75.85.63:35455/huya/11342387
周润发②,https://www.goodiptv.club/huya/11342387
李连杰①,http://159.75.85.63:35455/huya/11342390
李连杰②,https://www.goodiptv.club/huya/11342390
邱淑贞①,http://159.75.85.63:35455/huya/11352949
邱淑贞②,https://www.goodiptv.club/huya/11352949
刘德华①,http://159.75.85.63:35455/huya/11342424
刘德华②,https://www.goodiptv.club/huya/11342424
林正英①,http://159.75.85.63:35455/huya/11342421
林正英②,https://www.goodiptv.club/huya/zhubodandan
林正英③,https://www.goodiptv.club/huya/25129377
林正英④,http://159.75.85.63:35455/douyu/218859
林正英⑤,https://www.goodiptv.club/douyu/218859
林正英⑥,https://www.goodiptv.club/douyu/8009547
林正英⑦,http://159.75.85.63:35455/douyu/7356023
徐峥,http://159.75.85.63:35455/huya/11602043
沈腾①,http://159.75.85.63:35455/huya/11601968
沈腾②,https://www.goodiptv.club/huya/11601968
古天乐,http://159.75.85.63:35455/huya/11602041
洪金宝①,http://159.75.85.63:35455/huya/11279251
洪金宝②,https://www.goodiptv.club/huya/11279251
徐克,http://159.75.85.63:35455/huya/11352909
黄渤,http://159.75.85.63:35455/huya/11352876
王宝强,https://www.goodiptv.club/huya/30080251
甄子丹,https://www.goodiptv.club/huya/11352935
古天乐,https://www.goodiptv.club/huya/29982675
狄仁杰系列,https://www.goodiptv.club/huya/30080229
电影_王晶,http://159.75.85.63:35455/huya/11602058
电影_黄渤,http://159.75.85.63:35455/huya/11352876
电影_强森,http://159.75.85.63:35455/huya/21059581

🎬经典剧场,#genre#
爱情公寓,https://www.goodiptv.club/huya/11336726
倚天屠龙记,https://www.goodiptv.club/huya/27834853
鬼吹灯,https://www.goodiptv.club/huya/30252446
天龙八部,https://www.goodiptv.club/huya/20985816
家有儿女,https://www.goodiptv.club/huya/11352872
神探狄仁杰,https://www.goodiptv.club/huya/11352958
神雕侠女,https://www.goodiptv.club/huya/11352964
还珠格格,https://www.goodiptv.club/huya/30080241
宋小宝小品,https://www.goodiptv.club/douyu/9817729
贾玲小品,,https://www.goodiptv.club/douyu/10419541

🎬经典动漫,#genre#
蜡笔小新,https://www.goodiptv.club/huya/30362138
柯南,https://www.goodiptv.club/huya/30080236
神奇宝贝,https://www.goodiptv.club/huya/29465874
火影忍者,https://www.goodiptv.club/huya/11342385
Q版三国,https://www.goodiptv.club/huya/29465871
开心锤锤,https://www.goodiptv.club/douyu/9018297

📺央视「IPV6」,#genre#
CCTV1 综合「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000311/index.m3u8?IASHttpSessionId=
CCTV2 财经「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000317/index.m3u8?IASHttpSessionId=
CCTV3 综艺「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000371/index.m3u8?IASHttpSessionId=
CCTV4 中文国际「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000320/index.m3u8?IASHttpSessionId=
CCTV 4 中文国际·美洲「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000351/index.m3u8?IASHttpSessionId=
CCTV 4 中文国际·欧洲「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000350/index.m3u8?IASHttpSessionId=
CCTV5 体育「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000372/index.m3u8?IASHttpSessionId=
CCTV5+ 体育赛事「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000316/index.m3u8?IASHttpSessionId=
CCTV6 电影「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000374/index.m3u8?IASHttpSessionId=
CCTV7 国防军事「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000318/index.m3u8?IASHttpSessionId=
CCTV8 电视剧「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000376/index.m3u8?IASHttpSessionId=
CCTV9 纪录「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000319/index.m3u8?IASHttpSessionId=
CCTV 10 科教「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000321/index.m3u8?IASHttpSessionId=
CCTV 11 戏曲「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000344/index.m3u8?IASHttpSessionId=
CCTV 12 社会与法「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000322/index.m3u8?IASHttpSessionId=
CCTV 13 新闻「IPV6」,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000345/index.m3u8?IASHttpSessionId=
